scenario,scenario_size,seed,episode_steps,social_welfare,completed_tasks,generated_tasks,completion_rate,drop_rate,deadline_violation_rate,avg_latency_ms,p95_latency_ms,avg_node_utilization,load_imbalance,overload_count,allocation_overhead_ms,policy_inference_time_ms,total_decision_overhead_ms,slot_share,payments_sum,payment_robot_sum,payment_task_sum,node_compensation_sum,average_externality,externality_mean,externality_p95,externality_max,cluster_count,avg_cluster_size,graph_cut,welfare_loss_vs_global,method,mode_profile,externality_utilization_corr,externality_latency_corr,externality_queue_corr,relative_welfare_gain_vs_fixed_heuristic,relative_welfare_gain_vs_fixed_auction,relative_overhead_reduction_c_ample_vs_ample
peak_warehouse_load,Warehouse-M,2,90,996.4201438769189,350,384,0.9114583333333334,0.08854166666666667,0.0,20.342538288741608,70.23044719594165,0.1340252918333785,0.1496079458016654,0,1.0828666660624247,0.05387222174451583,1.1367388878069404,0.011367388878069404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.238190694999136,-0.5419641518387904,
peak_warehouse_load,Warehouse-M,3,90,1779.6692901038487,363,412,0.8810679611650486,0.11407766990291263,0.0048543689320388345,21.93690583346323,69.82429372032371,0.1753179719061503,0.16098516976676228,0,1.1504829085121553,0.0612486457814359,1.2117315542935911,0.012117315542935912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.2092181310166472,-0.3290818775014026,
peak_warehouse_load,Warehouse-M,4,90,1070.2072274222335,353,399,0.8847117794486216,0.10776942355889724,0.007518796992481203,19.42145125998624,57.30346191649801,0.13654177738237033,0.15235601386064931,0,1.1410962334290768,0.0751430107306482,1.216239244159725,0.01216239244159725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qmix_heuristic,default,,,,0.18287253845461052,-0.5593147488229088,
peak_warehouse_load,Warehouse-M,0,90,2121.204080671991,239,388,0.615979381443299,0.38402061855670105,0.0,19.002086492763834,64.99495668437893,0.09947236747426348,0.11376567329511054,0,1.742920821804243,0.07962868872305585,1.8225495105272986,0.018225495105272986,0.4896005585436982,0.4896005585436982,0.4896005585436982,359.51975992122567,0.002048537901856478,0.002048537901856478,7.105427357601002e-15,0.43019807545232425,0.0,0.0,0.0,0.0,ample_amr,default,0.4795050441912219,0.05718653263563308,,2.4563157784414704,0.08254247809342624,
peak_warehouse_load,Warehouse-M,1,90,2549.1141645025473,263,394,0.6675126903553299,0.33248730964467005,0.0,19.369655940409256,69.96453888909996,0.10285046126715755,0.10862855431051055,0,1.7148290770516421,0.07776297700022244,1.7925920540518645,0.017925920540518645,3.7703173916270316e-13,3.7703173916270316e-13,3.7703173916270316e-13,400.0928042745419,1.4335807572726357e-15,1.4335807572726357e-15,7.105427357601002e-15,2.1316282072803006e-14,0.0,0.0,0.0,0.0,ample_amr,default,0.05807942490859139,-0.11194240727517052,,1.5644811582650848,0.07857238989764255,
peak_warehouse_load,Warehouse-M,2,90,2329.2929596510917,276,384,0.71875,0.28125,0.0,17.189191726843887,61.18567709821173,0.10550095204367067,0.12210353119517064,0,1.822567633482524,0.0825820215848378,1.905149655067362,0.01905149655067362,1.91402449445377e-13,1.91402449445377e-13,1.91402449445377e-13,466.5897147609711,6.934871356716558e-16,6.934871356716558e-16,7.105427357601002e-15,1.4210854715202004e-14,0.0,0.0,0.0,0.0,ample_amr,default,,0.04476965731787549,,1.8944706570717766,0.07073274556511644,
peak_warehouse_load,Warehouse-M,3,90,2867.2709645216432,295,412,0.7160194174757282,0.28398058252427183,0.0,22.477236596466906,80.78786012982526,0.14825407765197693,0.15093517297917974,0,1.865216666030594,0.0790592218335304,1.9442758878641244,0.019442758878641244,0.07741986540416734,0.07741986540416734,0.07741986540416734,673.4555456845684,0.0002624402217090418,0.0002624402217090418,1.4210854715202004e-14,0.07741986540371215,0.0,0.0,0.0,0.0,ample_amr,default,,0.08945740175182186,,0.9482024307082596,0.08093344247084797,
peak_warehouse_load,Warehouse-M,4,90,2716.4778092370907,285,399,0.7142857142857143,0.2857142857142857,0.0,17.659822772463865,54.83140931397721,0.11616297972637578,0.13772894707366357,0,1.672674466519513,0.053362955804914236,1.7260374223244273,0.017260374223244272,2.9887203822909214e-13,2.9887203822909214e-13,2.9887203822909214e-13,528.9263833949071,1.0486738183476916e-15,1.0486738183476916e-15,7.105427357601002e-15,2.842170943040401e-14,0.0,0.0,0.0,0.0,ample_amr,default,,-0.032832150296276376,,2.0024530946287102,0.11857935080860771,
peak_warehouse_load,Warehouse-M,0,90,2041.556893578153,237,388,0.6108247422680413,0.38917525773195877,0.0,21.302030335977594,66.2996358016331,0.10490880510489171,0.12072919376461747,0,3.9258204002787047,0.05323432140155799,3.9790547216802628,0.03979054721680263,1.7008616737257398e-13,1.7008616737257398e-13,1.7008616737257398e-13,545.8858364664632,7.176631534707763e-16,7.176631534707763e-16,7.105427357601002e-15,1.4210854715202004e-14,1.1,3.388888888888889,7.977980037833715,79.64718709383806,c_ample_amr,default,0.07023312039063696,0.03816558050796688,,2.3265376811950698,0.041895062752597974,-1.1832354614767342
peak_warehouse_load,Warehouse-M,1,90,2537.2122609716007,261,394,0.6624365482233503,0.33756345177664976,0.0,17.181441984301188,50.31914413501545,0.0986737817347704,0.11717588730472209,0,4.4120198859471,0.06220139912329614,4.474221285070396,0.04474221285070396,2.424727085781342e-13,2.424727085781342e-13,2.424727085781342e-13,484.1007751507234,9.290142091116252e-16,9.290142091116252e-16,7.105427357601002e-15,7.105427357601002e-15,0.9888888888888889,4.094444444444444,1.3180624376509968,11.901903530946583,c_ample_amr,default,0.04308814637908115,-0.03661200882186354,,1.552507505700741,0.07353649754159762,-1.495950640279333
