scenario,scenario_size,method,mode_profile,social_welfare,completion_rate,drop_rate,p95_latency_ms,externality_mean,externality_p95,externality_max,payment_robot_sum,payment_task_sum,total_decision_overhead_ms
sensitivity_operation_modes,Warehouse-M,fixed_vcg,aggressive_bias,153.63511561776772,0.6956521739130435,0.3043478260869565,36.75934475556545,4.0245584642661925e-16,1.7763568394002505e-15,1.7763568394002505e-15,6.439293542825908e-15,6.439293542825908e-15,0.511298809821407
sensitivity_operation_modes,Warehouse-M,fixed_vcg,conservative,148.66701702668672,0.6086956521739131,0.391304347826087,35.95282569856879,1.0150610510858574e-15,3.552713678800501e-15,3.552713678800501e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.4886042637129624
sensitivity_operation_modes,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.5428507380808393
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,aggressive_bias,162.2243377714582,0.6956521739130435,0.3043478260869565,19.1266869479021,0.0,0.0,0.0,0.0,0.0,0.514562202927967
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,conservative,160.58085380911308,0.6956521739130435,0.3043478260869565,22.93591702596156,0.0,0.0,0.0,0.0,0.0,0.5544095765799284
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.615680629077057
stable_warehouse_load,Warehouse-M,ample_amr,default,154.3439280004073,0.7391304347826086,0.2608695652173913,27.319665603413856,1.0449157878825005e-15,4.2632564145605986e-15,7.105427357601002e-15,1.7763568394002505e-14,1.7763568394002505e-14,0.5986529868096113
stable_warehouse_load,Warehouse-M,c_ample_amr,default,158.34513662797062,0.6521739130434783,0.3478260869565217,37.17440403045653,8.881784197001252e-16,4.6185277824406474e-15,7.105427357601002e-15,1.3322676295501878e-14,1.3322676295501878e-14,1.2164827591429157
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,0.0,0.0,0.0,0.0,0.0,0.4438193670163552
stable_warehouse_load,Warehouse-M,fixed_vcg,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,9.43689570931383e-16,4.440892098500626e-15,7.105427357601002e-15,1.5099033134902132e-14,1.5099033134902132e-14,0.516628303254644
