scenario,scenario_size,method,mode_profile,task_class,assigned_task_count,total_task_payment,mean_task_payment,total_task_externality,mean_task_externality
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,path_replanning,104,4.5075054799781356e-14,4.334139884594361e-16,4.5075054799781356e-14,4.334139884594361e-16
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,perception,82,1.5987211554602254e-14,1.9496599456832017e-16,1.5987211554602254e-14,1.9496599456832017e-16
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,telemetry_diagnostics,98,4.463096558993129e-14,4.554180162237887e-16,4.463096558993129e-14,4.554180162237887e-16
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,inventory_recognition,67,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,localization_slam,137,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,obstacle_detection,98,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,path_replanning,104,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,perception,65,0.0,0.0,0.0,0.0
heterogeneous_edge_nodes,Warehouse-M+,random_modes_heuristic,default,telemetry_diagnostics,98,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,inventory_recognition,47,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,localization_slam,127,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,obstacle_detection,65,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,path_replanning,100,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,perception,41,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_heuristic,default,telemetry_diagnostics,99,0.0,0.0,0.0,0.0
network_degradation,Warehouse-M,fixed_vcg,default,inventory_recognition,47,1.1546319456101628e-14,2.4566637140641763e-16,1.1546319456101628e-14,2.4566637140641763e-16
network_degradation,Warehouse-M,fixed_vcg,default,localization_slam,127,6.195044477408373e-14,4.877987777486908e-16,6.195044477408373e-14,4.877987777486908e-16
